"id_envio","peso","volumen","valor_declarado","tipo_producto","origen","destino","distancia","zona","fecha_envio","dia_semana","mes","hora_salida","es_feriado","experiencia_conductor","tipo_vehiculo","antiguedad_vehiculo","capacidad_carga","clima","trafico_estimado","tiempo_estimado","retraso"
"ENV00001",79.1,6.83,304964,"alimentos","Valparaíso","Santiago",120.8,"urbana",2023-06-17,"sabado","june",12,FALSE,22,"furgon",4,1176,NA,9,6.2,"Si"
"ENV00002",11.4,1.57,59167,"otros","Santiago","Osorno",207.1,"urbana",2023-12-10,"domingo","december",10,FALSE,17,"camion_pequeno",4,2380,"nublado",6,7.6,"Si"
"ENV00003",28.9,5,220760,"ropa","Valdivia","Concepción",1099.6,"urbana",2023-04-25,"martes","april",13,FALSE,0,"furgon",3,1178,"lluvia",10,41.1,"Si"
"ENV00004",37.8,4.76,234398,"otros","Santiago","Antofagasta",881.7,"urbana",2023-08-17,"jueves","august",8,FALSE,11,"camion_grande",5,10881,"lluvia",NA,42.7,"No"
"ENV00005",30.1,3.26,89197,"electronica","Valparaíso","Antofagasta",127.1,"urbana",2023-07-12,"miercoles","july",9,FALSE,5,"camion_mediano",9,5212,"nublado",10,8.3,"Si"
"ENV00006",18.1,4.44,155488,"alimentos","Antofagasta","Chillán",1374.9,"urbana",2023-09-22,"viernes","september",9,FALSE,6,"camion_pequeno",4,2476,"lluvia",10,53,"Si"
"ENV00007",91.1,14.56,436827,"muebles","Santiago","Santiago",23.7,"urbana",2023-12-07,"jueves","december",18,FALSE,10,"camion_grande",13,12984,"nublado",9,2.4,"No"
"ENV00008",18.3,9.29,374777,"documentos","La Serena","Talca",1069.2,"urbana",2023-06-25,"domingo","june",12,FALSE,14,"camion_pequeno",8,2185,NA,5,23.9,"No"
"ENV00009",151.2,3.99,69068,"otros","Valparaíso","Concepción",816.4,"urbana",2023-02-22,"miercoles","february",6,FALSE,4,"camion_grande",10,11985,"nublado",8,28.9,"No"
"ENV00010",18.9,1.44,76396,"muebles","Puerto Montt","Talca",547.4,"urbana",2023-03-26,"domingo","march",19,FALSE,14,"camion_mediano",7,7323,"nublado",4,14.1,"No"
"ENV00011",74.1,7.32,406753,"muebles","Valparaíso","Antofagasta",1414.5,"urbana",2023-03-09,"jueves","march",9,FALSE,2,"camion_pequeno",6,3436,"despejado",7,33.4,"Si"
"ENV00012",197.7,3.21,160233,"ropa","Iquique","Santiago",107.8,"urbana",2023-01-12,"jueves","january",17,FALSE,0,"furgon",0,984,"despejado",8,5.4,"Si"
"ENV00013",5,6.24,240668,"otros","Valparaíso","Santiago",135.8,"urbana",2023-09-09,"sabado","september",6,FALSE,6,"furgon",3,1028,"despejado",4,4.3,"No"
"ENV00014",15.2,6.72,244257,"ropa","Temuco","Santiago",1478,"urbana",2023-09-26,"martes","september",9,FALSE,2,"furgon",5,1041,"lluvia",NA,52.8,"Si"
"ENV00015",17.6,13.53,187506,"alimentos","Calama","Concepción",557.3,"urbana",2023-08-24,"jueves","august",15,FALSE,1,"camion_mediano",4,6810,"despejado",10,18.8,"No"
